FOS_MA0476.1	FOS
E2F6_MA0471.1	E2F6
E2F4_MA0470.1	E2F4
DUX4_MA0468.1	DUX4
Crx_MA0467.1	Crx
CDX2_MA0465.1	CDX2
Bcl6_MA0463.1	Bcl6
BATF::JUN_MA0462.1	BATF::JUN
Stat6_MA0520.1	Stat6
Tcf12_MA0521.1	Tcf12
TCF7L2_MA0523.1	TCF7L2
ZBTB33_MA0527.1	ZBTB33
ZNF263_MA0528.1	ZNF263
CEBPA_MA0102.3	CEBPA
ELK4_MA0076.2	ELK4
ESR2_MA0258.2	ESR2
FOXA1_MA0148.3	FOXA1
Gata1_MA0035.3	Gata1
IRF1_MA0050.2	IRF1
Nfe2l2_MA0150.2	Nfe2l2
Sox2_MA0143.3	Sox2
SP1_MA0079.3	SP1
STAT1_MA0137.3	STAT1
STAT3_MA0144.2	STAT3
GATA1::TAL1_MA0140.2	GATA1::TAL1
USF1_MA0093.2	USF1
YY1_MA0095.2	YY1
Bach1::Mafk_MA0591.1	Bach1::Mafk
FOXP2_MA0593.1	FOXP2
Hoxa9_MA0594.1	Hoxa9
SREBF1_MA0595.1	SREBF1
SREBF2_MA0596.1	SREBF2
THAP1_MA0597.1	THAP1
KLF5_MA0599.1	KLF5
Arid3b_MA0601.1	Arid3b
Arid5a_MA0602.1	Arid5a
Arntl_MA0603.1	Arntl
Atf1_MA0604.1	Atf1
Atf3_MA0605.1	Atf3
NFAT5_MA0606.1	NFAT5
Bhlha15_MA0607.1	Bhlha15
Creb3l2_MA0608.1	Creb3l2
Crem_MA0609.1	Crem
DMRT3_MA0610.1	DMRT3
Dux_MA0611.1	Dux
EMX1_MA0612.1	EMX1
FOXG1_MA0613.1	FOXG1
Foxj2_MA0614.1	Foxj2
Gmeb1_MA0615.1	Gmeb1
Hes1_MA1099.1	Hes1
Hes2_MA0616.1	Hes2
Id2_MA0617.1	Id2
LBX1_MA0618.1	LBX1
LIN54_MA0619.1	LIN54
mix-a_MA0621.1	mix-a
Mlxip_MA0622.1	Mlxip
Neurog1_MA0623.1	Neurog1
NFATC1_MA0624.1	NFATC1
NFATC3_MA0625.1	NFATC3
Npas2_MA0626.1	Npas2
Pou2f3_MA0627.1	Pou2f3
POU6F1_MA0628.1	POU6F1
Rhox11_MA0629.1	Rhox11
SHOX_MA0630.1	SHOX
Six3_MA0631.1	Six3
Tcfl5_MA0632.1	Tcfl5
Twist2_MA0633.1	Twist2
ALX3_MA0634.1	ALX3
Ar_MA0007.3	Ar
BARHL2_MA0635.1	BARHL2
BHLHE41_MA0636.1	BHLHE41
CENPB_MA0637.1	CENPB
CREB3_MA0638.1	CREB3
DBP_MA0639.1	DBP
EBF1_MA0154.3	EBF1
EHF_MA0598.2	EHF
ELF3_MA0640.1	ELF3
ELF4_MA0641.1	ELF4
ELF5_MA0136.2	ELF5
EN1_MA0027.2	EN1
EN2_MA0642.1	EN2
Esrrg_MA0643.1	Esrrg
ESX1_MA0644.1	ESX1
ETV6_MA0645.1	ETV6
FLI1_MA0475.2	FLI1
FOXI1_MA0042.2	FOXI1
FOXL1_MA0033.2	FOXL1
FOXO3_MA0157.2	FOXO3
GCM1_MA0646.1	GCM1
GRHL1_MA0647.1	GRHL1
GSC_MA0648.1	GSC
HEY2_MA0649.1	HEY2
HINFP_MA0131.2	HINFP
HLF_MA0043.2	HLF
HNF1A_MA0046.2	HNF1A
HNF1B_MA0153.2	HNF1B
HOXA13_MA0650.1	HOXA13
HOXC11_MA0651.1	HOXC11
HSF1_MA0486.2	HSF1
IRF8_MA0652.1	IRF8
IRF9_MA0653.1	IRF9
ISX_MA0654.1	ISX
JDP2_MA0655.1	JDP2
JDP2(var.2)_MA0656.1	JDP2(var.2)
KLF13_MA0657.1	KLF13
LHX6_MA0658.1	LHX6
MAFG_MA0659.1	MAFG
MEF2B_MA0660.1	MEF2B
MEOX1_MA0661.1	MEOX1
MIXL1_MA0662.1	MIXL1
MLX_MA0663.1	MLX
MLXIPL_MA0664.1	MLXIPL
MSC_MA0665.1	MSC
MSX1_MA0666.1	MSX1
MYF6_MA0667.1	MYF6
NEUROD2_MA0668.1	NEUROD2
NEUROG2_MA0669.1	NEUROG2
NFIA_MA0670.1	NFIA
NFIX_MA0671.1	NFIX
NHLH1_MA0048.2	NHLH1
NKX2-3_MA0672.1	NKX2-3
NKX2-8_MA0673.1	NKX2-8
NKX6-1_MA0674.1	NKX6-1
NKX6-2_MA0675.1	NKX6-2
Nr2e1_MA0676.1	Nr2e1
Nr2f6_MA0677.1	Nr2f6
OLIG2_MA0678.1	OLIG2
ONECUT1_MA0679.1	ONECUT1
PAX4_MA0068.2	PAX4
PAX7_MA0680.1	PAX7
Phox2b_MA0681.1	Phox2b
Pitx1_MA0682.1	Pitx1
POU4F2_MA0683.1	POU4F2
Prrx2_MA0075.2	Prrx2
RUNX3_MA0684.1	RUNX3
Rxra_MA0512.2	Rxra
SP4_MA0685.1	SP4
SPDEF_MA0686.1	SPDEF
SPI1_MA0080.4	SPI1
SPIC_MA0687.1	SPIC
SRF_MA0083.3	SRF
T_MA0009.2	T
TBX2_MA0688.1	TBX2
TBX20_MA0689.1	TBX20
TBX21_MA0690.1	TBX21
TEAD1_MA0090.2	TEAD1
TFAP4_MA0691.1	TFAP4
TFCP2_MA0145.3	TFCP2
TFEB_MA0692.1	TFEB
ZBTB7B_MA0694.1	ZBTB7B
ZBTB7C_MA0695.1	ZBTB7C
ZIC1_MA0696.1	ZIC1
ZIC3_MA0697.1	ZIC3
ZBTB18_MA0698.1	ZBTB18
LBX2_MA0699.1	LBX2
LHX2_MA0700.1	LHX2
LHX9_MA0701.1	LHX9
LMX1A_MA0702.1	LMX1A
LMX1B_MA0703.1	LMX1B
Lhx4_MA0704.1	Lhx4
Lhx8_MA0705.1	Lhx8
MEOX2_MA0706.1	MEOX2
MNX1_MA0707.1	MNX1
MSX2_MA0708.1	MSX2
Msx3_MA0709.1	Msx3
NKX3-2_MA0122.2	NKX3-2
NOTO_MA0710.1	NOTO
Nkx3-1_MA0124.2	Nkx3-1
OTX1_MA0711.1	OTX1
OTX2_MA0712.1	OTX2
PDX1_MA0132.2	PDX1
PHOX2A_MA0713.1	PHOX2A
PITX3_MA0714.1	PITX3
PROP1_MA0715.1	PROP1
PRRX1_MA0716.1	PRRX1
RAX2_MA0717.1	RAX2
RAX_MA0718.1	RAX
RHOXF1_MA0719.1	RHOXF1
Shox2_MA0720.1	Shox2
UNCX_MA0721.1	UNCX
VAX1_MA0722.1	VAX1
VAX2_MA0723.1	VAX2
VENTX_MA0724.1	VENTX
VSX1_MA0725.1	VSX1
VSX2_MA0726.1	VSX2
ESR1_MA0112.3	ESR1
ESRRB_MA0141.3	ESRRB
Esrra_MA0592.2	Esrra
Hnf4a_MA0114.3	Hnf4a
NR2F1_MA0017.2	NR2F1
NR3C1_MA0113.3	NR3C1
NR3C2_MA0727.1	NR3C2
Nr2f6(var.2)_MA0728.1	Nr2f6(var.2)
RARA_MA0729.1	RARA
RARA(var.2)_MA0730.1	RARA(var.2)
BCL6B_MA0731.1	BCL6B
EGR2_MA0472.2	EGR2
EGR3_MA0732.1	EGR3
EGR4_MA0733.1	EGR4
GLI2_MA0734.1	GLI2
GLIS1_MA0735.1	GLIS1
GLIS2_MA0736.1	GLIS2
GLIS3_MA0737.1	GLIS3
HIC2_MA0738.1	HIC2
Hic1_MA0739.1	Hic1
KLF14_MA0740.1	KLF14
KLF16_MA0741.1	KLF16
Klf12_MA0742.1	Klf12
SCRT1_MA0743.1	SCRT1
SCRT2_MA0744.1	SCRT2
SNAI2_MA0745.1	SNAI2
SP3_MA0746.1	SP3
SP8_MA0747.1	SP8
YY2_MA0748.1	YY2
ZBED1_MA0749.1	ZBED1
ZIC4_MA0751.1	ZIC4
ZNF143_MA0088.2	ZNF143
ZNF410_MA0752.1	ZNF410
ZNF740_MA0753.1	ZNF740
CUX1_MA0754.1	CUX1
CUX2_MA0755.1	CUX2
ONECUT2_MA0756.1	ONECUT2
ONECUT3_MA0757.1	ONECUT3
E2F3_MA0469.2	E2F3
E2F7_MA0758.1	E2F7
ELF1_MA0473.2	ELF1
ELK3_MA0759.1	ELK3
ERF_MA0760.1	ERF
ERG_MA0474.2	ERG
ETS1_MA0098.3	ETS1
ETV1_MA0761.1	ETV1
ETV2_MA0762.1	ETV2
ETV3_MA0763.1	ETV3
ETV4_MA0764.1	ETV4
ETV5_MA0765.1	ETV5
FEV_MA0156.2	FEV
GATA5_MA0766.1	GATA5
GCM2_MA0767.1	GCM2
LEF1_MA0768.1	LEF1
Tcf7_MA0769.1	Tcf7
HSF2_MA0770.1	HSF2
HSF4_MA0771.1	HSF4
IRF7_MA0772.1	IRF7
MEF2A_MA0052.3	MEF2A
MEF2D_MA0773.1	MEF2D
MEIS1_MA0498.2	MEIS1
MEIS2_MA0774.1	MEIS2
MEIS3_MA0775.1	MEIS3
MYBL1_MA0776.1	MYBL1
MYBL2_MA0777.1	MYBL2
NFKB1_MA0105.4	NFKB1
NFKB2_MA0778.1	NFKB2
PAX1_MA0779.1	PAX1
PAX3_MA0780.1	PAX3
PAX9_MA0781.1	PAX9
PKNOX1_MA0782.1	PKNOX1
PKNOX2_MA0783.1	PKNOX2
POU1F1_MA0784.1	POU1F1
POU2F1_MA0785.1	POU2F1
POU3F1_MA0786.1	POU3F1
POU3F2_MA0787.1	POU3F2
POU3F3_MA0788.1	POU3F3
POU3F4_MA0789.1	POU3F4
POU4F1_MA0790.1	POU4F1
POU4F3_MA0791.1	POU4F3
POU5F1B_MA0792.1	POU5F1B
POU6F2_MA0793.1	POU6F2
PROX1_MA0794.1	PROX1
RFX2_MA0600.2	RFX2
SMAD3_MA0795.1	SMAD3
TGIF1_MA0796.1	TGIF1
TGIF2_MA0797.1	TGIF2
RFX3_MA0798.1	RFX3
RFX4_MA0799.1	RFX4
RFX5_MA0510.2	RFX5
RUNX2_MA0511.2	RUNX2
EOMES_MA0800.1	EOMES
MGA_MA0801.1	MGA
TBR1_MA0802.1	TBR1
TBX15_MA0803.1	TBX15
TBX19_MA0804.1	TBX19
TBX1_MA0805.1	TBX1
TBX4_MA0806.1	TBX4
TBX5_MA0807.1	TBX5
TEAD3_MA0808.1	TEAD3
TEAD4_MA0809.1	TEAD4
TFAP2A(var.2)_MA0810.1	TFAP2A(var.2)
